"passer","passer_player_id","posteam","down","ydstogo","total","aggressiveness","percentage","headshot_url","team_name","team_id","team_nick","team_color","team_color2","team_color3","team_color4","team_logo_wikipedia","team_logo_espn","team_wordmark"
"A.Dalton","00-0027973","CHI",1,10,84,28,0.333333333333333,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ejcbwk2yijkswrmzscbk","Chicago Bears","0810","Bears","#0b162a","#c83803","#0b162a","#c83803","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/chi.png","https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/CHI.png"
"A.Dalton","00-0027973","CHI",1,15,1,0,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ejcbwk2yijkswrmzscbk","Chicago Bears","0810","Bears","#0b162a","#c83803","#0b162a","#c83803","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/chi.png","https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/CHI.png"
"A.Dalton","00-0027973","CHI",1,19,1,1,1,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ejcbwk2yijkswrmzscbk","Chicago Bears","0810","Bears","#0b162a","#c83803","#0b162a","#c83803","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/chi.png","https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/CHI.png"
"A.Dalton","00-0027973","CHI",2,2,1,1,1,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ejcbwk2yijkswrmzscbk","Chicago Bears","0810","Bears","#0b162a","#c83803","#0b162a","#c83803","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/chi.png","https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/CHI.png"
"A.Dalton","00-0027973","CHI",2,3,2,1,0.5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ejcbwk2yijkswrmzscbk","Chicago Bears","0810","Bears","#0b162a","#c83803","#0b162a","#c83803","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/chi.png","https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/CHI.png"
"A.Dalton","00-0027973","CHI",2,4,3,1,0.333333333333333,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ejcbwk2yijkswrmzscbk","Chicago Bears","0810","Bears","#0b162a","#c83803","#0b162a","#c83803","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/chi.png","https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/CHI.png"
"A.Dalton","00-0027973","CHI",2,5,11,6,0.545454545454545,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ejcbwk2yijkswrmzscbk","Chicago Bears","0810","Bears","#0b162a","#c83803","#0b162a","#c83803","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/chi.png","https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/CHI.png"
"A.Dalton","00-0027973","CHI",2,6,4,4,1,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ejcbwk2yijkswrmzscbk","Chicago Bears","0810","Bears","#0b162a","#c83803","#0b162a","#c83803","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/chi.png","https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/CHI.png"
"A.Dalton","00-0027973","CHI",2,7,6,2,0.333333333333333,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ejcbwk2yijkswrmzscbk","Chicago Bears","0810","Bears","#0b162a","#c83803","#0b162a","#c83803","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/chi.png","https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/CHI.png"
"A.Dalton","00-0027973","CHI",2,8,8,3,0.375,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ejcbwk2yijkswrmzscbk","Chicago Bears","0810","Bears","#0b162a","#c83803","#0b162a","#c83803","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/chi.png","https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/CHI.png"
